,BGP,BGR,BGW,BPG,BPR,BPW,BRG,BRP,BRW,BWG,BWP,BWR,GBP,GBPRW,GBPWR,GBR,GBRPW,GBRWP,GBW,GBWPR,GBWRP,GPB,GPBRW,GPBWR,GPR,GPRBW,GPRWB,GPW,GPWBR,GPWRB,GRB,GRBPW,GRBWP,GRP,GRPBW,GRPWB,GRW,GRWBP,GRWPB,GWB,GWBPR,GWBRP,GWP,GWPBR,GWPRB,GWR,GWRBP,GWRPB,PBG,PBR,PBW,PGB,PGR,PGW,PRB,PRG,PRW,PWB,PWG,PWR,RBG,RBP,RBW,RGB,RGP,RGW,RPB,RPG,RPW,RWB,RWG,RWP,WBG,WBP,WBR,WGB,WGP,WGR,WPB,WPG,WPR,WRB,WRG,WRP
RPW,['BGP'],['BGR'],['GRPBGW'],['GRBPG'],['GBPR'],['GBPW'],['BRG'],['BRP'],['GBRW'],['GRBWG'],['GRBWP'],['GRPBWR'],['GBP'],['GB'],['GBP'],['GBR'],[''],['GBR'],['BRPGBW'],"['GBPRG', 'GRBWP']",['BRPG'],['BRGPB'],['GBRW'],['BRGP'],['BGPR'],"['BGPR', 'GRBW']",['BG'],['BGPW'],['B'],['BGP'],['GRB'],['G'],['GRB'],['GRP'],['GR'],[''],['BGRW'],['BGRW'],['BGR'],['BRGWB'],"['BRGW', 'GBPR']",['BR'],['BRGWP'],['BRG'],"['BGPRB', 'BRGWP']",['BRPGWR'],['GRBP'],['GRPB'],['GRPBG'],['BRGPBR'],['GRPBW'],['BRPGB'],['GRBPGR'],['BRPGW'],['BGPRB'],['GBPRG'],"['BGPRW', 'GBPRW']",['B'],['G'],"['BGPWR', 'GBPWR']",['BGPRBG'],['GRBP'],['GRBW'],['GBPRGB'],['BRGP'],['BRGW'],['GRPB'],['BRPG'],,['BGRWB'],['GBRWG'],"['BGRWP', 'GBRWP']",['BG'],"['BGRWBP', 'BRGWBP']",['BR'],['GB'],"['GBRWGP', 'GRBWGP']",['GR'],"['BGRWPB', 'BRGWPB', 'GBRWPB']","['BGRWPG', 'GBRWPG', 'GRBWPG']","['BRGWPR', 'GRBWPR']","['BGPWRB', 'GBPWRB']","['BGPWRG', 'GBPWRG']","['BRPGWRP', 'GRPBWRP']"
RWB,['GP'],['GR'],"['GPRBGW', 'GRPBGW']",['PG'],['PR'],"['PGRBPW', 'PRGBPW']","['GPWBRG', 'PGWBRG']","['GPWBRP', 'PGWBRP']","['GRWPBRW', 'PRWGBRW']","['GPRBWG', 'GRPBWG', 'PGRBWG']","['GPRBWP', 'PGRBWP', 'PRGBWP']","['GRPBWR', 'PRGBWR']",['PRGBP'],['PR'],"['GPWR', 'PRGB']",['PRWGBR'],['GRPW'],['GRWP'],['PRGBW'],['PRG'],"['PGWRP', 'PRGBW']",['PRWGPB'],['PRWG'],"['GPWRG', 'GRPBW']",['GPR'],['GPR'],[''],['GPW'],['GPW'],['GP'],['PGRB'],['PGRB'],['PGR'],['GRP'],['GRP'],['G'],['GRW'],[''],['GR'],['PGWB'],['P'],['PGW'],['PRGWP'],['PRGW'],['GPRB'],['PGWR'],['PG'],"['GRPB', 'PGWR']",['GRPBG'],['GRWPBR'],['GRPBW'],['GRWPGB'],['PGR'],['PGW'],['GPRB'],['PRG'],['PRW'],['GPWB'],['GRPWG'],['GPWR'],['GPRBG'],['PGRBP'],"['GPRBW', 'PGRBW']",['PRGB'],['GPWRGP'],['PRGW'],['GRPB'],['PGWRPG'],['GRPW'],,['PRWG'],['GRWP'],['G'],['P'],"['GPWBR', 'PGWBR']",['PRWGB'],['PRWGP'],['GRPWGR'],['GRWPB'],['GRWPG'],['PRGWPR'],"['GPWRB', 'PGWRB']",['GPWRG'],['PGWRP']
RWG,['PRBGP'],['PRWBGR'],['PRBGW'],['PRWBPG'],['BPR'],['BPW'],['PBRG'],['BRP'],['BRW'],['PBWG'],['PRBWP'],['PBWR'],['BP'],[''],['BP'],['BR'],['B'],['BR'],"['BPRGBW', 'BRPGBW']",['BPRG'],"['BRPG', 'PBWR']",['PB'],[''],['PB'],['PR'],['P'],['PR'],"['PBRGPW', 'PRBGPW']",['PBRG'],"['BPWR', 'PRBG']","['BPWGRB', 'PBWGRB']",['BPW'],['PRBW'],"['BPWGRP', 'PBWGRP']",['PBW'],['BRPW'],"['BRWPGRW', 'PRWBGRW']",['PRWB'],['BRWP'],"['BPRGWB', 'BRPGWB', 'PBRGWB']",['BPR'],['BRP'],"['BPRGWP', 'PBRGWP', 'PRBGWP']",['PBR'],['PRB'],"['BRPGWR', 'PRBGWR']","['BPWRB', 'BRPGW']","['PBWRP', 'PRBGW']",['BRWPBG'],['PBR'],['PBW'],['BRPGB'],['BRWPGR'],['BRPGW'],['PRB'],['BPRG'],['PRW'],['BRPWB'],['BPWG'],['BPWR'],['PRBG'],['BPWRBP'],['PRBW'],['BPRGB'],['PBRGP'],"['BPRGW', 'PBRGW']",['PBWRPB'],['BRPG'],['BRPW'],['PRWB'],,['BRWP'],['PRWBG'],['PRWBP'],['BRPWBR'],['B'],['P'],"['BPWGR', 'PBWGR']",['BRWPB'],['BRWPG'],['PRBWPR'],['BPWRB'],"['BPWRG', 'PBWRG']",['PBWRP']
RWP,['GRWBGP'],['BGR'],['BGW'],['GRBPG'],['GRWBPR'],['GRBPW'],['BRG'],['GBRP'],['BRW'],['GRBWG'],['GBWP'],['GBWR'],['BRWGBP'],['BRWG'],"['GBWRG', 'GRBPW']",['GBR'],['GBR'],[''],['GBW'],['GBW'],['GB'],['BRGPB'],['BR'],"['BRGP', 'GBWR']",['BRWGPR'],['GRBW'],['GRWB'],['BRGPW'],['BRG'],"['BGWRB', 'BRGPW']",['GRB'],['GRB'],['G'],['BGRP'],['BGRP'],['BGR'],['GRW'],['GR'],[''],['BRGWB'],['BRGW'],['GBRP'],['BGWP'],['B'],['BGW'],['BGWR'],"['BGWR', 'GRBP']",['BG'],['BG'],['BR'],"['BGRPBW', 'BRGPBW']",['GB'],['GR'],"['GBRPGW', 'GRBPGW']","['BGWPRB', 'GBWPRB']","['BGWPRG', 'GBWPRG']","['BRWGPRW', 'GRWBPRW']","['BGRPWB', 'BRGPWB', 'GBRPWB']","['BGRPWG', 'GBRPWG', 'GRBPWG']","['BRGPWR', 'GRBPWR']",['BGWRBG'],['GRBP'],['GRBW'],['GBWRGB'],['BRGP'],['BRGW'],['BGRPB'],['GBRPG'],"['BGRPW', 'GBRPW']",['GRWB'],['BRWG'],,['GRWBG'],['GRWBP'],['BRGWBR'],['BRWGB'],['BRWGP'],['GRBWGR'],['B'],['G'],"['BGWPR', 'GBWPR']",['BGWRB'],['GBWRG'],"['BGWRP', 'GBWRP']"
WBG,['P'],['R'],"['PRBGW', 'RPBGW']",['RWBPG'],['RWBPR'],['PWRBPW'],['PWBRG'],['PWBRP'],['RWPBRW'],"['PRBWG', 'RPBWG']",['PRBWP'],['RPBWR'],"['PRWGBP', 'PWRGBP', 'RPWGBP']",['PRW'],['PWR'],"['PRWGBR', 'RPWGBR', 'RWPGBR']",['RPW'],['RWP'],"['PWRGBW', 'RWPGBW']","['PRBWP', 'PWRGB']","['RPBWR', 'RWPGB']","['PRWGPB', 'PWRGPB']",['PRWG'],"['PWRG', 'RPBW']",['PR'],['PR'],[''],['PW'],['PW'],['P'],"['RPWGRB', 'RWPGRB']",['RPWG'],"['PRBW', 'RWPG']",['RP'],['RP'],[''],['RW'],['RW'],['R'],"['PWBRGWB', 'RWBPGWB']",['RWBP'],['PWBR'],"['PRBGWP', 'RPBGWP']",['RWPB'],['PRB'],"['PRBGWR', 'RPBGWR']",['PWRB'],['RPB'],['RPBG'],['RWPBR'],['RPBW'],['RWPGB'],['RWPGR'],['RWBPGW'],['PRB'],['RWBPRG'],['PRW'],['PWB'],['RPWG'],['PWR'],['PRBG'],['PWRBP'],['PRBW'],['PWRGB'],['PWRGP'],['PWBRGW'],['RPB'],['PWBRPG'],['RPW'],['RWB'],['PRWG'],['RWP'],,['RWBP'],['PWBR'],"['PRWGB', 'RPWGB']",['PRWGP'],['RPWGR'],['RWPB'],['RWPG'],['PRBWPR'],['PWRB'],['PWRG'],['RPBWRP']
WBP,['RWBGP'],['RWBGR'],['GWRBGW'],['G'],['R'],"['GRBPW', 'RGBPW']",['GWBRG'],['GWBRP'],['RWGBRW'],['GRBWG'],"['GRBWP', 'RGBWP']",['RGBWR'],['RGBP'],['R'],['RGB'],['RWGBR'],['RWGB'],['GRWP'],['RGBW'],['RG'],"['GWRP', 'RGBW']",['RWGPB'],['RWG'],"['RGBWR', 'RWGPB']",['RWGPR'],"['GRBW', 'RWGP']",['RW'],['RWBGPW'],['GWBR'],['GWRB'],['GRB'],['GRB'],['GR'],['RWBGRP'],"['GRBWG', 'GWRPB']",['RWBG'],['GRW'],[''],['GRW'],['GWB'],[''],['GW'],['RGWP'],['RGW'],['RGWP'],['GWR'],['G'],['GWR'],"['GRWPBG', 'GWRPBG', 'RGWPBG']","['GRWPBR', 'RGWPBR', 'RWGPBR']","['GWRPBW', 'RWGPBW']","['GRWPGB', 'GWRPGB']",['GR'],['GW'],"['RGWPRB', 'RWGPRB']",['RG'],['RW'],"['GWBRPWB', 'RWBGPWB']","['GRBPWG', 'RGBPWG']","['GRBPWR', 'RGBPWR']",['GWRBG'],['GRBP'],['GRBW'],['RGB'],['GWBRGP'],['RGW'],['GWRPB'],['GWRPG'],['GWBRPW'],['RWB'],['RWG'],['GRWP'],['RWBG'],,['GWBR'],['RWGB'],['RWGP'],['GRBWGR'],"['GRWPB', 'RGWPB']",['GRWPG'],['RGWPR'],['GWRB'],['RGBWRG'],['GWRP']
WBR,['PWBGP'],['PWBGR'],['GWPBGW'],['GWBPG'],['GWBPR'],['PWGBPW'],['G'],['P'],"['GPBRW', 'PGBRW']",['GPBWG'],['PGBWP'],"['GPBWR', 'PGBWR']",['PWGBP'],['PWGB'],['GPWR'],['PGBR'],['P'],['PGB'],['PGBW'],"['GWPR', 'PGBW']",['PG'],['GPB'],['GPB'],['GP'],['PWBGPR'],"['GPBWG', 'GWPRB']",['PWBG'],['GPW'],[''],['GPW'],['PWGRB'],['PWG'],"['PGBWP', 'PWGRB']",['PWGRP'],"['GPBW', 'PWGR']",['PW'],['PWBGRW'],['GWBP'],['GWPB'],['GWB'],['GW'],[''],['GWP'],['G'],['GWP'],['PGWR'],['PGW'],['PGWR'],['GWPBG'],['GPBR'],['GPBW'],['PGB'],['GWBPGR'],['PGW'],['GWPRB'],['GWPRG'],['GWBPRW'],['PWB'],['PWG'],['GPWR'],"['GPWRBG', 'GWPRBG', 'PGWRBG']","['GPWRBP', 'PGWRBP', 'PWGRBP']","['GWPRBW', 'PWGRBW']","['GPWRGB', 'GWPRGB']",['GP'],['GW'],"['PGWRPB', 'PWGRPB']",['PG'],['PW'],"['GWBPRWB', 'PWBGRWB']","['GPBRWG', 'PGBRWG']","['GPBRWP', 'PGBRWP']",['PWBG'],['GWBP'],,['PWGB'],['GPBWGP'],['PWGR'],['GWPB'],['PGBWPG'],['GWPR'],"['GPWRB', 'PGWRB']",['GPWRG'],['PGWRP']
WGB,"['PRWBGP', 'PWRBGP', 'RPWBGP']","['PRWBGR', 'RPWBGR', 'RWPBGR']","['PWRBGW', 'RWPBGW']","['PRWBPG', 'PWRBPG']",['PR'],['PW'],"['RPWBRG', 'RWPBRG']",['RP'],['RW'],"['PWGRBWG', 'RWGPBWG']","['PRGBWP', 'RPGBWP']","['PRGBWR', 'RPGBWR']",['P'],[''],['P'],['R'],[''],['R'],"['PRGBW', 'RPGBW']",['PRG'],['RPG'],['RWGPB'],['RW'],['PWRG'],['RWGPR'],['RWGP'],['PRW'],['PWRGPW'],['RPWB'],['PWR'],['PWGRB'],['PW'],['RWPG'],['PWGRP'],['PWGR'],['RPW'],['RWPGRW'],['PRWB'],['RWP'],"['PRGWB', 'RPGWB']",['PR'],['RP'],['PRGWP'],"['PRGW', 'RWPB']","['PRGWP', 'PWRBG']",['RPGWR'],"['PWRB', 'RPGW']","['RPGWR', 'RWPBG']",['RWPBG'],['RWPBR'],['RWGPBW'],['RPGB'],['RWPGR'],['RPGW'],['RWGPRB'],['PRG'],['PRW'],['RPWB'],['PWG'],['PWR'],['PWRBG'],['PWRBP'],['PWGRBW'],['PRGB'],['PWRGP'],['PRGW'],['PWGRPB'],['RPG'],['RPW'],['PRWB'],['RWG'],['RWP'],"['PRWBG', 'RPWBG']",['PRWBP'],['RPWBR'],,['RWGP'],['PWGR'],['RWPB'],['RWPG'],['PRGWPR'],['PWRB'],['PWRG'],['RPGWRP']
WGP,['RBGP'],['RWBGR'],['RBGW'],['RWBPG'],['RWBPR'],['RWGBPW'],['BRG'],['RWGBRP'],['BRW'],['BWG'],['RBWP'],['BWR'],['RWGBP'],['RW'],['BWRG'],['RWGBR'],['RWGB'],['BRW'],['BWRGBW'],['RBWP'],['BWR'],['B'],[''],['B'],['R'],[''],['R'],"['BRGPW', 'RBGPW']",['BRG'],['RBG'],['BWGRB'],['BWGR'],['RBW'],['BWGRP'],['BW'],['RWBG'],['RWBGRW'],['RWB'],['BRWP'],['BRGWB'],"['BRGW', 'RWBP']","['BRGWB', 'BWRPG']","['BRGWP', 'RBGWP']",['BR'],['RB'],['RBGWR'],"['RBGWR', 'RWBPG']","['BWRP', 'RBGW']","['BRWPBG', 'BWRPBG']",['BR'],['BW'],"['BRWPGB', 'BWRPGB', 'RBWPGB']","['BRWPGR', 'RBWPGR', 'RWBPGR']","['BWRPGW', 'RWBPGW']",['RB'],"['RBWPRG', 'RWBPRG']",['RW'],"['BRGPWB', 'RBGPWB']","['BWGRPWG', 'RWGBPWG']","['BRGPWR', 'RBGPWR']",['RBG'],['BWGRBP'],['RBW'],['BWRGB'],['BRGP'],['BRGW'],['BWRPB'],['BWRPG'],['BWGRPW'],['RWB'],['RWG'],['BRWP'],['RWBG'],['RWBP'],['BRGWBR'],['RWGB'],,['BWGR'],['BRWPB'],"['BRWPG', 'RBWPG']",['RBWPR'],['RBGWRB'],['BWRG'],['BWRP']
WGR,['PWBGP'],['PBGR'],['PBGW'],['BPG'],['PWGBPR'],['BPW'],['PWBRG'],['PWBRP'],['PWGBRW'],['BWG'],['BWP'],['PBWR'],['PWGBP'],['PWGB'],['BPW'],['PWGBR'],['PW'],['BWPG'],['BWPGBW'],['BWP'],['PBWR'],['BWGPB'],['BWGP'],['PBW'],['BWGPR'],['BW'],['PWBG'],['PWBGPW'],['PWB'],['BPWR'],['B'],[''],['B'],['P'],[''],['P'],"['BPGRW', 'PBGRW']",['BPG'],['PBG'],['BPGWB'],"['BPGWB', 'BWPRG']","['BPGW', 'PWBR']",['PBGWP'],"['PBGWP', 'PWBRG']","['BWPR', 'PBGW']","['BPGWR', 'PBGWR']",['BP'],['PB'],['PBG'],['BWGPBR'],['PBW'],['BWPGB'],['BPGR'],['BPGW'],['BWPRB'],['BWPRG'],['BWGPRW'],['PWB'],['PWG'],['BPWR'],"['BPWRBG', 'BWPRBG']",['BP'],['BW'],"['BPWRGB', 'BWPRGB', 'PBWRGB']","['BPWRGP', 'PBWRGP', 'PWBRGP']","['BWPRGW', 'PWBRGW']",['PB'],"['PBWRPG', 'PWBRPG']",['PW'],"['BPGRWB', 'PBGRWB']","['BWGPRWG', 'PWGBRWG']","['BPGRWP', 'PBGRWP']",['PWBG'],['BPGWBP'],['PWBR'],['PWGB'],['BWGP'],,['PBGWPB'],['BWPG'],['BWPR'],['BPWRB'],"['BPWRG', 'PBWRG']",['PBWRP']
WPB,"['GRWBGP', 'GWRBGP']",['GR'],['GW'],"['GRWBPG', 'GWRBPG', 'RGWBPG']","['GRWBPR', 'RGWBPR', 'RWGBPR']","['GWRBPW', 'RWGBPW']",['RG'],"['RGWBRP', 'RWGBRP']",['RW'],"['GRPBWG', 'RGPBWG']","['GWPRBWP', 'RWPGBWP']","['GRPBWR', 'RGPBWR']",['RWGBP'],['RWG'],"['RGPWR', 'RWGBP']",['RWGBR'],"['GRPW', 'RWGB']",['RW'],['RWPGBW'],['GWPR'],['GWRP'],['RGPB'],['R'],['RGP'],['RWGPR'],['RWGP'],['GRWB'],['RGPW'],['RG'],"['GWRB', 'RGPW']",['RWPGRB'],"['GRPWG', 'GWRBP']",['RWPG'],['GRP'],['GRP'],['GR'],['GRW'],['GRW'],[''],['RGWB'],['RGW'],['RGWB'],['GWP'],[''],['GW'],['GWR'],['GWR'],['G'],['G'],['R'],"['GRPBW', 'RGPBW']",['RWPGB'],['RWPGR'],['GWRPGW'],['GWPRB'],['GWPRG'],['RWGPRW'],"['GRPWB', 'RGPWB']",['GRPWG'],['RGPWR'],['GWRBG'],['GWRBP'],['GWPRBW'],['GWPRGB'],['RGP'],['RGW'],['GRPB'],['GWRPG'],['GRPW'],['GRWB'],['RWG'],['RWP'],['GRWBG'],"['GRWBP', 'RGWBP']",['RGWBR'],['RWGB'],['RWGP'],['GRPWGR'],,['RWPG'],['GWPR'],['GWRB'],['RGPWRG'],['GWRP']
WPG,['RWBGP'],['RWBGR'],['RWPBGW'],['RBPG'],['RWBPR'],['RBPW'],['RWPBRG'],['BRP'],['BRW'],['RBWG'],['BWP'],['BWR'],"['BRWGBP', 'BWRGBP']",['BRWG'],"['BWRG', 'RBPW']",['BR'],['BR'],[''],['BW'],['BW'],['B'],"['BRWGPB', 'BWRGPB', 'RBWGPB']",['BRW'],['BWR'],"['BRWGPR', 'RBWGPR', 'RWBGPR']",['RBW'],['RWB'],"['BWRGPW', 'RWBGPW']","['BRPWB', 'BWRGP']","['RBPWR', 'RWBGP']",['RB'],['RB'],[''],"['RBWGRP', 'RWBGRP']",['RBWG'],"['BRPW', 'RWBG']",['RW'],['R'],['RW'],"['BRPGWB', 'RBPGWB']",['RWBP'],['BRP'],"['BWPRGWP', 'RWPBGWP']",['RWPB'],['BWPR'],"['BRPGWR', 'RBPGWR']",['RBP'],['BWRP'],['RWPBG'],['RWPBR'],['BWRPBW'],['B'],['R'],"['BRPGW', 'RBPGW']",['BWPRB'],['BWPRG'],['RWBPRW'],['BRPWB'],"['BRPWG', 'RBPWG']",['RBPWR'],['BWPRBG'],['RBP'],['RBW'],['BWRGB'],['BWRGP'],['BWPRGW'],['BWRPB'],['BRPG'],['BRPW'],['RWB'],['BRWG'],['RWP'],['RWBG'],['RWBP'],['BRPWBR'],['BRWGB'],"['BRWGP', 'RBWGP']",['RBWGR'],['RWPB'],,['BWPR'],['RBPWRB'],['BWRG'],['BWRP']
WPR,['BGP'],['GWPBGR'],['BGW'],['GWBPG'],['GBPR'],['GBPW'],['GWBRG'],['GWBRP'],['GWPBRW'],['BWG'],['BWP'],['GBWR'],['GBP'],['GBP'],['GB'],['BWPGBR'],"['GBPWG', 'GWBRP']",['BWPG'],['GBW'],[''],['GBW'],['BWGPB'],['BWGP'],['GBWR'],['BGPR'],['B'],['BGP'],['BGPW'],"['BGPW', 'GWBR']",['BG'],['BWGRB'],"['BWGR', 'GBPW']",['BW'],['BWGRP'],['BWG'],"['BGPWB', 'BWGRP']",['BWPGRW'],['GWBP'],['GWPB'],['GWB'],['G'],['GWB'],['GWP'],['GW'],[''],['BGWR'],['BGWR'],['BGW'],['GWPBG'],['GWPBR'],['BWGPBW'],['BWPGB'],['BWPGR'],['GWBPGW'],['B'],['G'],"['BGPRW', 'GBPRW']",['BGPWB'],['GBPWG'],"['BGPWR', 'GBPWR']",['BG'],"['BGWRBP', 'BWGRBP']",['BW'],['GB'],"['GBWRGP', 'GWBRGP']",['GW'],"['BGWRPB', 'BWGRPB', 'GBWRPB']","['BGWRPG', 'GBWRPG', 'GWBRPG']","['BWGRPW', 'GWBRPW']","['BGPRWB', 'GBPRWB']","['BGPRWG', 'GBPRWG']","['BWPGRWP', 'GWPBRWP']",['BGPWBG'],['GWBP'],['GWBR'],['GBPWGB'],['BWGP'],['BWGR'],['GWPB'],['BWPG'],,['BGWRB'],['GBWRG'],"['BGWRP', 'GBWRP']"
WRB,['GP'],"['GPWBGR', 'GWPBGR']",['GW'],['PG'],"['PGWBPR', 'PWGBPR']",['PW'],"['GPWBRG', 'GWPBRG', 'PGWBRG']","['GPWBRP', 'PGWBRP', 'PWGBRP']","['GWPBRW', 'PWGBRW']","['GPRBWG', 'PGRBWG']","['GPRBWP', 'PGRBWP']","['GWRPBWR', 'PWRGBWR']",['PWGBP'],"['GPRW', 'PWGB']",['PW'],['PWGBR'],['PWG'],"['PGRWP', 'PWGBR']",['PWRGBW'],['GWPR'],['GWRP'],['PWRGPB'],"['GPRWG', 'GWPBR']",['PWRG'],['GPR'],['GPR'],['GP'],['GPW'],['GPW'],[''],['PGRB'],['P'],['PGR'],['PWGRP'],['PWGR'],['GPWB'],['PGRW'],['PG'],"['GWPB', 'PGRW']",['PGWB'],['PGWB'],['PGW'],['GWP'],['GWP'],['G'],['GWR'],[''],['GW'],['GWPBG'],['GWPBR'],['GWRPBW'],['GWRPGB'],['PGR'],['PGW'],['GPRB'],['GWPRG'],['GPRW'],['GPWB'],['PWG'],['PWR'],['G'],['P'],"['GPRBW', 'PGRBW']",['PWRGB'],['PWRGP'],['GWPRGW'],['GWRPB'],['GWRPG'],['PWGRPW'],"['GPRWB', 'PGRWB']",['GPRWG'],['PGRWP'],['GPWBG'],['PGWBP'],"['GPWBR', 'PGWBR']",['PWGB'],['GPRWGP'],['PWGR'],['GWPB'],['PGRWPG'],['GWPR'],,['PWRG'],['GWRP']
WRG,['PWBGP'],['PWBGR'],['PWRBGW'],['PWRBPG'],['BPR'],['BPW'],['PBRG'],['PWBRP'],['PBRW'],['PBWG'],['BWP'],['BWR'],['BP'],['BP'],[''],"['BPWGBR', 'BWPGBR']",['BPWG'],"['BWPG', 'PBRW']",['BW'],['B'],['BW'],['PB'],['PB'],[''],"['PBWGPR', 'PWBGPR']",['PBWG'],"['BPRW', 'PWBG']",['PW'],['P'],['PW'],"['BPWGRB', 'BWPGRB', 'PBWGRB']",['BPW'],['BWP'],"['BPWGRP', 'PBWGRP', 'PWBGRP']",['PBW'],['PWB'],"['BWPGRW', 'PWBGRW']","['BPRWB', 'BWPGR']","['PBRWP', 'PWBGR']","['BPRGWB', 'PBRGWB']",['BPR'],['PWBR'],"['BPRGWP', 'PBRGWP']",['PBR'],['BWPR'],"['BWRPGWR', 'PWRBGWR']",['PWRB'],['BWRP'],['BWRPBG'],['PBR'],['PBW'],['BWPGB'],['BWPGR'],['BWRPGW'],['BWPRB'],['BPRG'],['BPRW'],['PWB'],['BPWG'],['PWR'],['PWRBG'],['PWRBP'],['BWPRBW'],['B'],['P'],"['BPRGW', 'PBRGW']",['BWRPB'],['BWRPG'],['PWBRPW'],['BPRWB'],"['BPRWG', 'PBRWG']",['PBRWP'],['PWBG'],['BPRWBP'],['PWBR'],['BPWGB'],['PBWGP'],"['BPWGR', 'PBWGR']",['PBRWPB'],['BWPG'],['BWPR'],['PWRB'],,['BWRP']
WRP,['GWRBGP'],['BGR'],['BGW'],['GWBPG'],['GWBPR'],['GWRBPW'],['GWBRG'],['GBRP'],['GBRW'],['BWG'],['GBWP'],['BWR'],['BWRGBP'],"['GBRWG', 'GWBPR']",['BWRG'],['GBR'],['GBR'],['GB'],['GBW'],['GBW'],[''],['BWGPB'],"['BWGP', 'GBRW']",['BW'],['BWGPR'],['BWG'],"['BGRWB', 'BWGPR']",['BWRGPW'],['GWBR'],['GWRB'],['BWGRB'],['BWGR'],['GBWP'],['BGRP'],['B'],['BGR'],['BGRW'],"['BGRW', 'GWBP']",['BG'],['GWB'],['GWB'],['G'],['BGWP'],['BGWP'],['BGW'],['GWR'],['GW'],[''],['BG'],"['BGWPBR', 'BWGPBR']",['BW'],['GB'],"['GBWPGR', 'GWBPGR']",['GW'],"['BGWPRB', 'BWGPRB', 'GBWPRB']","['BGWPRG', 'GBWPRG', 'GWBPRG']","['BWGPRW', 'GWBPRW']","['BGRPWB', 'GBRPWB']","['BGRPWG', 'GBRPWG']","['BWRGPWR', 'GWRBPWR']",['GWRBG'],['GWRBP'],['BWGRBW'],['BWRGB'],['BWRGP'],['GWBRGW'],['B'],['G'],"['BGRPW', 'GBRPW']",['BGRWB'],['GBRWG'],"['BGRWP', 'GBRWP']",['BGRWBG'],['GWBP'],['GWBR'],['GBRWGB'],['BWGP'],['BWGR'],['BGWPB'],['GBWPG'],"['BGWPR', 'GBWPR']",['GWRB'],['BWRG'],
